hash_,rating,position,name,club,league,country,skillboost
25,110,CB,Duffy,Celtic,"Scotland Premiership","Republic of Ireland",MARKING
26,110,LB,Reguilón,"Tottenham Hotspur","England Premier League",Spain,MARKING
27,110,CB,Romero,Atalanta,"Italy Serie A",Argentina,HOLDING
28,110,LB,Max,PSV,"Holland Eredivisie",Germany,REACTIONS
29,110,CB,"Rúben Dias","Manchester City","England Premier League",Portugal,HOLDING
30,110,RB,Hakimi,Inter,"Italy Serie A",Morocco,LONGPASSING
31,110,RM,Best,"Manchester United","England Premier League","Northern Ireland",SHOTPOWER
32,110,ST,"João Félix","Atlético de Madrid","Spain Primera División",Portugal,SECONDSTRIKER
33,110,CB,Zagadou,"Borussia Dortmund","Germany 1. Bundesliga",France,HOLDING
34,110,ST,Cavani,"Manchester United","England Premier League",Uruguay,SECONDSTRIKER
35,110,RW,Chiesa,"Piemonte Calcio","Italy Serie A",Italy,SHOTPOWER
36,110,LW,"Douglas Costa","Bayern München","Germany 1. Bundesliga",Brazil,SHOOTING
37,110,CDM,Partey,Arsenal,"England Premier League",Ghana,HOLDING
38,110,LM,Kluivert,"RB Leipzig","Germany 1. Bundesliga",Netherlands,SECONDSTRIKER
39,110,CDM,Bakayoko,Napoli,"Italy Serie A",France,STOPPER
40,110,RB,Dest,"FC Barcelona","Spain Primera División","United States",HOLDING
41,110,LB,"Alex Telles","Manchester United","England Premier League",Brazil,HOLDING
42,110,GK,Martínez,"Aston Villa","England Premier League",Argentina,REFLEXES
43,110,CM,Thiago,Liverpool,"England Premier League",Spain,BOXTOBOX
44,108,CB,Aké,"Manchester City","England Premier League",Netherlands,DESTROYER
45,108,CM,Vidal,Inter,"Italy Serie A",Chile,BOXTOBOX
46,108,ST,Martínez,Inter,"Italy Serie A",Argentina,SECONDSTRIKER
47,108,RM,"Vinícius Jr.","Real Madrid","Spain Primera División",Brazil,LONGSHOTS
48,107,RM,Ziyech,Chelsea,"England Premier League",Morocco,AGILITY
49,107,RW,"Bernardo Silva","Manchester City","England Premier League",Portugal,ATTACKING
50,107,GK,"van der Sar",Ajax,"Holland Eredivisie",Netherlands,NUMBER1
51,106,LB,Kolarov,Inter,"Italy Serie A",Serbia,LONGPASSING
52,106,CB,"Thiago Silva",Chelsea,"England Premier League",Brazil,MARKING
53,106,ST,Ronaldo,"Real Madrid","Spain Primera División",Brazil,SECONDSTRIKER
54,106,CM,"Riqui Puig","FC Barcelona","Spain Primera División",Spain,CAPTAIN
55,106,RB,Maitland-Niles,Arsenal,"England Premier League",England,DEFENDING
56,106,RW,Saelemaekers,Milan,"Italy Serie A",Belgium,ATTACKING
57,106,CM,Gerrard,Liverpool,"England Premier League",England,CAPTAIN
58,106,LM,Pirès,Arsenal,"England Premier League",France,SHOOTING
59,105,RW,Bale,"Tottenham Hotspur","England Premier League",Wales,SECONDSTRIKER
60,105,CDM,Pjanić,"FC Barcelona","Spain Primera División","Bosnia and Herzegovina",DESTROYER
61,105,CAM,Maradona,Napoli,"Italy Serie A",Argentina,LONGSHOTS
62,105,RW,Messi,"FC Barcelona","Spain Primera División",Argentina,SECONDSTRIKER
63,105,ST,Lewandowski,"Bayern München","Germany 1. Bundesliga",Poland,ATTACKING
64,105,CDM,Locatelli,Sassuolo,"Italy Serie A",Italy,DESTROYER
65,105,ST,Greenwood,"Manchester United","England Premier League",England,SECONDSTRIKER
66,105,ST,Messi,"FC Barcelona","Spain Primera División",Argentina,ATTACKING
67,105,RM,Sabitzer,"RB Leipzig","Germany 1. Bundesliga",Austria,ATTACKING
68,104,GK,Lopes,"Olympique Lyonnais","France Ligue 1",Portugal,NUMBER1
69,104,LB,Davies,"Bayern München","Germany 1. Bundesliga",Canada,HOLDING
70,104,CB,Kimpembe,"Paris Saint-Germain","France Ligue 1",France,DEFENDING
71,104,CB,Upamecano,"RB Leipzig","Germany 1. Bundesliga",France,DESTROYER
72,104,CM,Aouar,"Olympique Lyonnais","France Ligue 1",France,COUNTER
73,104,CDM,Marquinhos,"Paris Saint-Germain","France Ligue 1",Brazil,MARKING
74,104,CAM,"De Bruyne","Manchester City","England Premier League",Belgium,SECONDSTRIKER
75,104,CAM,"Neymar Jr","Paris Saint-Germain","France Ligue 1",Brazil,ATTACKING
76,104,RM,Gnabry,"Bayern München","Germany 1. Bundesliga",Germany,ATTACKING
77,104,ST,Haaland,"Borussia Dortmund","Germany 1. Bundesliga",Norway,ATTACKING
78,104,ST,Lewandowski,"Bayern München","Germany 1. Bundesliga",Poland,LONGSHOTS
79,104,ST,Pelé,"Müller Iceon United",,Brazil,AGILITY
80,104,LB,Davies,"Bayern München","Germany 1. Bundesliga",Canada,DEFENDING
81,104,ST,Messi,"FC Barcelona","Spain Primera División",Argentina,SECONDSTRIKER
82,104,ST,Drogba,Chelsea,"England Premier League","Côte d Ivoire",SECONDSTRIKER
83,104,CAM,"Bruno Fernandes","Manchester United","England Premier League",Portugal,LONGSHOTS
84,104,ST,Success,Watford,"England Premier League",Nigeria,FINISHING
85,104,CB,Zouma,Chelsea,"England Premier League",France,PHYSICAL
86,104,ST,Ibrahimović,Milan,"Italy Serie A",Sweden,SECONDSTRIKER
87,104,CAM,Özil,Arsenal,"England Premier League",Germany,COUNTER
88,104,ST,Chhetri,"Bengaluru FC","Indian Super League",India,FINISHING
89,104,ST,"Le Fondre","Sydney FC","Australia A-League",England,FINISHING
90,104,RM,Forrest,Celtic,"Scotland Premiership",Scotland,COUNTER
91,104,ST,"C. Ronaldo","Piemonte Calcio","Italy Serie A",Portugal,SECONDSTRIKER
92,104,RW,"Adama Traoré","Wolverhampton Wanderers","England Premier League",Spain,ATTACKING
93,104,CB,Figueroa,"Houston Dynamo","USA Major League Soccer",Honduras,STRENGTH
94,104,CM,Gerrard,Liverpool,"England Premier League",England,CAPTAIN
95,104,CM,"De Bruyne","Manchester City","England Premier League",Belgium,LONGSHOTS
96,104,LW,"Neymar Jr","Paris Saint-Germain","France Ligue 1",Brazil,FINISHING
97,104,CB,Diakhaby,"Valencia CF","Spain Primera División",France,AGGRESSION
98,104,CAM,Mount,Chelsea,"England Premier League",England,LONGSHOTS
99,104,LM,Ribéry,Fiorentina,"Italy Serie A",France,SECONDSTRIKER
100,104,LW,Son,"Tottenham Hotspur","England Premier League","Korea Republic",SECONDSTRIKER
101,104,LW,Hazard,"Real Madrid","Spain Primera División",Belgium,SECONDSTRIKER
102,104,GK,Schmeichel,"Manchester United","England Premier League",Denmark,REFLEXES
103,104,CB,Maldini,Milan,"Italy Serie A",Italy,HOLDING
104,104,CF,Bergkamp,Arsenal,"England Premier League",Netherlands,SPEED
105,103,LM,Pulisic,Chelsea,"England Premier League","United States",LONGSHOTS
106,103,ST,Altidore,"Toronto FC","USA Major League Soccer","United States",FINISHING
107,103,LW,Volland,"AS Monaco","France Ligue 1",Germany,ATTACKING
108,103,CB,Lenglet,"FC Barcelona","Spain Primera División",France,MARKING
109,103,LW,Martial,"Manchester United","England Premier League",France,ATTACKING
110,103,CM,Kanté,Chelsea,"England Premier League",France,BOXTOBOX
111,103,GK,Ederson,"Manchester City","England Premier League",Brazil,NUMBER1
112,103,CB,"Carles Puyol","FC Barcelona","Spain Primera División",Spain,HOLDING
113,103,LW,"C. Ronaldo","Piemonte Calcio","Italy Serie A",Portugal,ATTACKING
114,103,ST,"Roberto Firmino",Liverpool,"England Premier League",Brazil,SECONDSTRIKER
115,103,RB,Zanetti,Inter,"Italy Serie A",Argentina,DEFENDING
116,103,RW,Garrincha,"Müller Iceon United",,Brazil,SHOTPOWER
117,103,LW,"Ansu Fati","FC Barcelona","Spain Primera División",Spain,ATTACKING
118,103,CM,Ballack,"Bayern München","Germany 1. Bundesliga",Germany,BOXTOBOX
119,103,CM,Modrić,"Real Madrid","Spain Primera División",Croatia,BOXTOBOX
120,103,LM,Giggs,"Manchester United","England Premier League",Wales,LONGSHOTS
121,103,CDM,Makélélé,"FC Nantes","France Ligue 1",France,DESTROYER
122,102,RM,Chandler,"Eintracht Frankfurt","Germany 1. Bundesliga","United States",COUNTER
123,102,CAM,Messi,"FC Barcelona","Spain Primera División",Argentina,LONGSHOTS
124,102,CB,Hernández,"Bayern München","Germany 1. Bundesliga",France,HOLDING
125,102,ST,"Neymar Jr","Paris Saint-Germain","France Ligue 1",Brazil,SECONDSTRIKER
126,102,ST,Zapata,Atalanta,"Italy Serie A",Colombia,FINISHING
127,102,RW,Messi,"FC Barcelona","Spain Primera División",Argentina,DRIBBLING
128,102,CDM,Fabinho,Liverpool,"England Premier League",Brazil,LONGPASSING
129,102,CB,Škriniar,Inter,"Italy Serie A",Slovakia,HOLDING
130,102,CM,"Bruno Fernandes","Manchester United","England Premier League",Portugal,CAPTAIN
131,102,CAM,Messi,"FC Barcelona","Spain Primera División",Argentina,LONGSHOTS
132,102,ST,Immobile,Lazio,"Italy Serie A",Italy,FINISHING
133,102,ST,Immobile,Lazio,"Italy Serie A",Italy,ACCELERATION
134,102,CB,"van Dijk",Liverpool,"England Premier League",Netherlands,DESTROYER
135,102,CM,Foden,"Manchester City","England Premier League",England,CAPTAIN
136,102,ST,Mbappé,"Paris Saint-Germain","France Ligue 1",France,SECONDSTRIKER
137,102,GK,Courtois,"Real Madrid","Spain Primera División",Belgium,NUMBER1
138,102,CM,Ndombele,"Tottenham Hotspur","England Premier League",France,DESTROYER
139,102,ST,Lewandowski,"Bayern München","Germany 1. Bundesliga",Poland,SECONDSTRIKER
140,102,CM,Rooney,"Derby County","England Championship",England,LONGSHOTS
141,102,CB,Lindelöf,"Manchester United","England Premier League",Sweden,HOLDING
142,102,CM,Ndombele,"Tottenham Hotspur","England Premier League",France,BOXTOBOX
143,102,CM,"De Bruyne","Manchester City","England Premier League",Belgium,CAPTAIN
144,102,LW,"Neymar Jr","Paris Saint-Germain","France Ligue 1",Brazil,SHOTPOWER
145,102,ST,"Gabriel Jesus","Manchester City","England Premier League",Brazil,SECONDSTRIKER
146,101,CB,Otamendi,"SL Benfica","Portugal Primeira Liga",Argentina,DESTROYER
147,101,CM,Morales,"Fortuna Düsseldorf","Germany 1. Bundesliga","United States",CAPTAIN
148,101,CM,Maddison,"Leicester City","England Premier League",England,CAPTAIN
149,101,ST,Haller,"West Ham United","England Premier League",France,ACCELERATION
150,101,CAM,Rodríguez,"Real Madrid","Spain Primera División",Colombia,LONGSHOTS
151,101,CB,Varane,"Real Madrid","Spain Primera División",France,AGGRESSION
152,101,GK,Lloris,"Tottenham Hotspur","England Premier League",France,REFLEXES
153,101,LM,Rodrygo,"Real Madrid","Spain Primera División",Brazil,LONGSHOTS
154,101,CB,"Sergio Ramos","Real Madrid","Spain Primera División",Spain,MARKING
155,101,ST,"C. Ronaldo","Piemonte Calcio","Italy Serie A",Portugal,SHOOTING
156,101,ST,Lukaku,Inter,"Italy Serie A",Belgium,SECONDSTRIKER
157,101,GK,"Unai Simón","Athletic Club de Bilbao","Spain Primera División",Spain,REFLEXES
158,101,CAM,Nakata,Roma,"Italy Serie A",Japan,LONGSHOTS
159,101,RB,Çelik,"LOSC Lille","France Ligue 1",Turkey,REACTIONS
160,101,CM,Casemiro,"Real Madrid","Spain Primera División",Brazil,BOXTOBOX
161,101,GK,Drągowski,Fiorentina,"Italy Serie A",Poland,NUMBER1
162,101,RM,Zaha,"Crystal Palace","England Premier League","Côte d Ivoire",COUNTER
163,101,LM,Saka,Arsenal,"England Premier League",England,COUNTER
164,101,RM,Sancho,"Borussia Dortmund","Germany 1. Bundesliga",England,LONGSHOTS
165,101,CAM,Reus,"Borussia Dortmund","Germany 1. Bundesliga",Germany,LONGSHOTS
166,101,CDM,Rice,"West Ham United","England Premier League",England,HOLDING
167,101,LB,Marcelo,"Real Madrid","Spain Primera División",Brazil,HOLDING
168,101,CB,Demiral,"Piemonte Calcio","Italy Serie A",Turkey,HOLDING
169,101,LM,Saka,Arsenal,"England Premier League",England,COUNTER
170,101,LW,Mané,Liverpool,"England Premier League",Senegal,ATTACKING
171,101,RW,Salah,Liverpool,"England Premier League",Egypt,ATTACKING
172,101,CB,Demiral,"Piemonte Calcio","Italy Serie A",Turkey,HOLDING
173,101,ST,Mbappé,"Paris Saint-Germain","France Ligue 1",France,ACCELERATION
174,101,CM,Verratti,"Paris Saint-Germain","France Ligue 1",Italy,BOXTOBOX
175,101,LW,Stoichkov,"FC Barcelona","Spain Primera División",Bulgaria,ATTACKING
176,101,CM,Eggestein,"Werder Bremen","Germany 1. Bundesliga",Germany,BOXTOBOX
177,101,CB,Alderweireld,"Tottenham Hotspur","England Premier League",Belgium,STOPPER
178,101,ST,"Del Piero","Piemonte Calcio","Italy Serie A",Italy,SECONDSTRIKER
179,100,CDM,Tonali,Milan,"Italy Serie A",Italy,AGGRESSION
180,100,CDM,Kondogbia,"Valencia CF","Spain Primera División","Central African Republic",DEFENDING
181,100,RW,Ünder,"Leicester City","England Premier League",Turkey,SHOOTING
182,100,CB,Hedges,"FC Dallas","USA Major League Soccer","United States",MARKING
183,100,CB,Giménez,"Atlético de Madrid","Spain Primera División",Uruguay,HOLDING
184,100,GK,Donnarumma,Milan,"Italy Serie A",Italy,REFLEXES
185,100,CB,"O Connell","Sheffield United","England Premier League",England,MARKING
186,100,LM,Bamba,"LOSC Lille","France Ligue 1",France,LONGSHOTS
187,100,LW,Sterling,"Manchester City","England Premier League",England,ATTACKING
188,100,GK,Oblak,"Atlético de Madrid","Spain Primera División",Slovenia,REFLEXES
189,100,RM,"Douglas Costa","Piemonte Calcio","Italy Serie A",Brazil,COUNTER
190,100,RM,Marlos,"Shakhtar Donetsk","Rest of W",Ukraine,FREEKICK
191,100,CDM,Matthäus,"Bayern München","Germany 1. Bundesliga",Germany,BOXTOBOX
192,100,ST,Sánchez,Inter,"Italy Serie A",Chile,SECONDSTRIKER
193,100,RM,Okocha,"Paris Saint-Germain","France Ligue 1",Nigeria,COUNTER
194,100,ST,Ibrahimović,Milan,"Italy Serie A",Sweden,SECONDSTRIKER
195,100,CF,Waldschmidt,"SL Benfica","Portugal Primeira Liga",Germany,SECONDSTRIKER
196,100,LW,Fraser,"Newcastle United","England Premier League",Scotland,SHOTPOWER
197,100,ST,Watkins,"Aston Villa","England Championship",England,ACCELERATION
198,100,ST,Córdoba,"Hertha BSC","Germany 1. Bundesliga",Colombia,LONGSHOTS
199,100,ST,Taremi,"FC Porto","Portugal Primeira Liga",Iran,TARGETMAN
200,100,CB,Giménez,"Atlético de Madrid","Spain Primera División",Uruguay,HOLDING
201,100,RW,"Rony Lopes","OGC Nice","France Ligue 1",Portugal,ACCELERATION
202,100,ST,"G. Paciência","FC Schalke 04","Germany 1. Bundesliga",Portugal,TARGETMAN
203,100,ST,Zahavi,PSV,"Holland Eredivisie",Israel,FINISHING
204,100,ST,Andersson,"1. FC Köln","Germany 1. Bundesliga",Sweden,TARGETMAN
205,100,ST,Aboubakar,Beşiktaş,"Turkey Süper Lig",Cameroon,SECONDSTRIKER
206,100,CB,Koch,"Leeds United","England Premier League",Germany,TACKLING
207,100,CB,Disasi,"AS Monaco","France Ligue 1",France,AGGRESSION
208,100,CB,Vertonghen,"SL Benfica","Portugal Primeira Liga",Belgium,AGGRESSION
209,100,GK,Mendy,Chelsea,"England Premier League",Senegal,DIVING
210,100,LB,Chilwell,Chelsea,"England Premier League",England,REACTIONS
211,100,LB,Lewis,"Newcastle United","England Premier League","Northern Ireland",AGGRESSION
212,100,RB,Arias,"Bayer 04 Leverkusen","Germany 1. Bundesliga",Colombia,DESTROYER
213,100,LW,Sterling,"Manchester City","England Premier League",England,ATTACKING
214,100,RB,Castagne,"Leicester City","England Premier League",Belgium,STOPPER
215,100,LWB,Marçal,"Wolverhampton Wanderers","England Premier League",Brazil,DEFENDING
216,100,RWB,"Nélson Semedo","Wolverhampton Wanderers","England Premier League",Portugal,DEFENDING
217,100,CM,Bonaventura,Fiorentina,"Italy Serie A",Italy,LONGSHOTS
218,100,CAM,"van de Beek","Manchester United","England Premier League",Netherlands,LONGSHOTS
219,100,CDM,Coquelin,"Villarreal CF","Spain Primera División",France,DEFENDING
220,100,CAM,Pereyra,Udinese,"Italy Serie A",Argentina,DRIBBLING
221,100,RM,Candreva,Sampdoria,"Italy Serie A",Italy,SECONDSTRIKER
222,100,CM,Lallana,"Brighton & Hove Albion","England Premier League",England,LONGPASSING
223,100,CAM,Duda,"1. FC Köln","Germany 1. Bundesliga",Slovakia,SHOTPOWER
224,100,CM,McKennie,"Piemonte Calcio","Italy Serie A","United States",DESTROYER
225,100,CAM,Mooy,"Shanghai SIPG","China Super League",Australia,FREEKICK
226,100,RM,Marlos,"Shakhtar Donetsk","Rest of W",Ukraine,FREEKICK
227,100,LM,Eze,"Crystal Palace","England Premier League",England,AGILITY
228,100,CM,"Luis Alberto",Lazio,"Italy Serie A",Spain,CAPTAIN
229,100,LB,Kurzawa,"Paris Saint-Germain","France Ligue 1",France,REACTIONS
230,100,ST,Sánchez,Inter,"Italy Serie A",Chile,SECONDSTRIKER
231,100,ST,Kane,"Tottenham Hotspur","England Premier League",England,SECONDSTRIKER
232,100,CM,"Luis Alberto",Lazio,"Italy Serie A",Spain,COUNTER
233,100,CB,Varane,"Real Madrid","Spain Primera División",France,HOLDING
234,100,CDM,Maier,"Hertha BSC","Germany 1. Bundesliga",Germany,INTERCEPTIONS
235,100,RW,Kubo,"RCD Mallorca","Spain Primera División",Japan,ATTACKING
236,100,CAM,Reine-Adélaïde,"Olympique Lyonnais","France Ligue 1",France,LONGSHOTS
237,100,ST,Vinícius,"Tottenham Hotspur","England Premier League",Brazil,FINISHING
238,100,LB,Zinchenko,"Manchester City","England Premier League",Ukraine,REACTIONS
239,100,ST,Kruse,"1. FC Union Berlin","Germany 1. Bundesliga",Germany,DRIBBLING
240,100,CM,Elmas,Napoli,"Italy Serie A","FYR Macedonia",BOXTOBOX
241,100,ST,Deulofeu,Udinese,"Italy Serie A",Spain,SHOOTING
242,100,CDM,"Sergio Busquets","FC Barcelona","Spain Primera División",Spain,DESTROYER
243,100,CM,Barkley,"Aston Villa","England Premier League",England,LONGSHOTS
244,100,CDM,"Danilo Pereira","Paris Saint-Germain","France Ligue 1",Portugal,MARKING
245,100,CAM,Klaassen,Ajax,"Holland Eredivisie",Netherlands,BOXTOBOX
246,100,CM,Rabiot,"Piemonte Calcio","Italy Serie A",France,CAPTAIN
247,100,CB,Rugani,"Stade Rennais","France Ligue 1",Italy,HOLDING
248,100,ST,Isak,"Real Sociedad","Spain Primera División",Sweden,ACCELERATION
249,100,CB,Godfrey,Everton,"England Premier League",England,PHYSICAL
250,100,CB,Todibo,"SL Benfica","Portugal Primeira Liga",France,MARKING
251,100,RW,"Marco Asensio","Real Madrid","Spain Primera División",Spain,ATTACKING
252,100,ST,Werner,"RB Leipzig","Germany 1. Bundesliga",Germany,ACCELERATION
253,100,CM,"Rúben Neves","Wolverhampton Wanderers","England Premier League",Portugal,CAPTAIN
254,100,ST,Quagliarella,Sampdoria,"Italy Serie A",Italy,LONGSHOTS
255,100,ST,Weghorst,"VfL Wolfsburg","Germany 1. Bundesliga",Netherlands,ATTACKING
256,100,RM,Raphinha,"Stade Rennais","France Ligue 1",Brazil,ACCELERATION
257,100,CDM,Kondogbia,"Valencia CF","Spain Primera División","Central African Republic",DEFENDING
258,100,CB,"van Dijk",Liverpool,"England Premier League",Netherlands,HOLDING
259,100,GK,Donnarumma,Milan,"Italy Serie A",Italy,REFLEXES
260,100,RW,"Di María","Paris Saint-Germain","France Ligue 1",Argentina,ATTACKING
261,100,RM,Kulusevski,Parma,"Italy Serie A",Sweden,COUNTER
262,100,CM,Goretzka,"Bayern München","Germany 1. Bundesliga",Germany,CAPTAIN
263,100,CAM,Verdi,Torino,"Italy Serie A",Italy,LONGSHOTS
264,100,CDM,Guendouzi,Arsenal,"England Premier League",France,DESTROYER
265,99,RM,Almirón,"Newcastle United","England Premier League",Paraguay,LONGSHOTS
266,99,CAM,Reyna,"Borussia Dortmund","Germany 1. Bundesliga","United States",LONGSHOTS
267,99,LW,Rashica,"Werder Bremen","Germany 1. Bundesliga",Kosovo,ACCELERATION
268,99,RW,Arriola,"D.C. United","USA Major League Soccer","United States",DRIBBLING
269,99,RB,Kimmich,"Bayern München","Germany 1. Bundesliga",Germany,REACTIONS
270,99,RM,Dembélé,"FC Barcelona","Spain Primera División",France,LONGSHOTS
271,99,CB,Lascelles,"Newcastle United","England Premier League",England,DESTROYER
272,99,CDM,Billing,Bournemouth,"England Premier League",Denmark,INTERCEPTIONS
273,99,GK,Areola,"Real Madrid","Spain Primera División",France,REFLEXES
274,99,LB,"Jordi Alba","FC Barcelona","Spain Primera División",Spain,DEFENDING
275,99,CAM,Canales,"Real Betis Balompié","Spain Primera División",Spain,SHOOTING
276,99,CB,Vida,Beşiktaş,"Turkey Süper Lig",Croatia,HOLDING
277,99,CM,Hamšík,"Dalian Yifang","China Super League",Slovakia,BOXTOBOX
278,99,CB,Sánchez,"Tottenham Hotspur","England Premier League",Colombia,STOPPER
279,99,ST,Benzema,"Real Madrid","Spain Primera División",France,SECONDSTRIKER
280,99,CB,Zouma,Chelsea,"England Premier League",France,AGGRESSION
281,99,CM,Zieliński,Napoli,"Italy Serie A",Poland,BOXTOBOX
282,99,ST,Gómez,"Valencia CF","Spain Primera División",Uruguay,ACCELERATION
283,99,ST,"Diogo Jota","Wolverhampton Wanderers","England Premier League",Portugal,SHOOTING
284,99,GK,Navas,"Paris Saint-Germain","France Ligue 1","Costa Rica",REFLEXES
285,99,CM,Barella,Inter,"Italy Serie A",Italy,BOXTOBOX
286,99,CM,Pirlo,Milan,"Italy Serie A",Italy,LONGPASSING
287,99,CAM,Eriksen,Inter,"Italy Serie A",Denmark,COUNTER
288,99,RB,Kimmich,"Bayern München","Germany 1. Bundesliga",Germany,REACTIONS
289,99,LB,"Jordi Alba","FC Barcelona","Spain Primera División",Spain,DEFENDING
290,99,ST,"Diogo Jota","Wolverhampton Wanderers","England Premier League",Portugal,SHOOTING
291,99,CB,"de Vrij",Inter,"Italy Serie A",Netherlands,MARKING
292,99,CM,Keane,"Manchester United","England Premier League","Republic of Ireland",CAPTAIN
293,99,GK,Oblak,"Atlético de Madrid","Spain Primera División",Slovenia,NUMBER1
294,99,CB,Hummels,"Borussia Dortmund","Germany 1. Bundesliga",Germany,DEFENDING
295,99,CM,Henderson,Liverpool,"England Premier League",England,CAPTAIN
296,99,LW,McNeil,Burnley,"England Premier League",England,DRIBBLING
297,99,RB,Tomiyasu,Bologna,"Italy Serie A",Japan,DEFENDING
298,99,RB,Alexander-Arnold,Liverpool,"England Premier League",England,HOLDING
299,99,CB,Kompany,Anderlecht,"Belgium Pro League",Belgium,HOLDING
300,99,GK,Lehmann,"FC Schalke 04","Germany 1. Bundesliga",Germany,NUMBER1
301,99,ST,Håland,"Borussia Dortmund","Germany 1. Bundesliga",Norway,ACCELERATION
302,99,CAM,Harit,"FC Schalke 04","Germany 1. Bundesliga",Morocco,LONGSHOTS
303,99,ST,Kutucu,"FC Schalke 04","Germany 1. Bundesliga",Turkey,FINISHING
304,99,CDM,"Fran Beltrán","RC Celta de Vigo","Spain Primera División",Spain,LONGPASSING
305,99,CM,Thiago,"Bayern München","Germany 1. Bundesliga",Spain,CAPTAIN
306,99,CB,Cahill,"Crystal Palace","England Premier League",England,HOLDING
307,99,CB,Tomori,Chelsea,"England Premier League",England,AGGRESSION
308,99,CAM,Müller,"Bayern München","Germany 1. Bundesliga",Germany,COUNTER
309,99,ST,"Matheus Cunha","Hertha BSC","Germany 1. Bundesliga",Brazil,SHOOTING
310,99,RW,Pépé,Arsenal,"England Premier League","Côte d Ivoire",ATTACKING
311,99,ST,Gómez,"VfB Stuttgart","Germany 2. Bundesliga",Germany,FINISHING
312,99,CDM,Bruno,"Villarreal CF","Spain Primera División",Spain,DESTROYER
313,99,GK,Neuer,"Bayern München","Germany 1. Bundesliga",Germany,NUMBER1
314,99,RW,Chukwueze,"Villarreal CF","Spain Primera División",Nigeria,DRIBBLING
315,99,ST,Drogba,Chelsea,"England Premier League","Côte d Ivoire",SECONDSTRIKER
316,99,LB,Baines,Everton,"England Premier League",England,DEFENDING
317,99,CAM,Wijnaldum,Liverpool,"England Premier League",Netherlands,LONGSHOTS
318,99,RM,Pedro,Chelsea,"England Premier League",Spain,LONGSHOTS
319,99,ST,Ibišević,"Hertha BSC","Germany 1. Bundesliga","Bosnia and Herzegovina",FINISHING
320,99,CB,Sokratis,Arsenal,"England Premier League",Greece,HOLDING
321,99,ST,"Iñaki Williams","Athletic Club de Bilbao","Spain Primera División",Spain,SHOTPOWER
322,99,RW,Thauvin,"Olympique de Marseille","France Ligue 1",France,ATTACKING
323,99,LW,Çalhanoğlu,Milan,"Italy Serie A",Turkey,ATTACKING
324,99,CB,Tomori,Chelsea,"England Premier League",England,AGGRESSION
325,99,LW,Rashica,"Werder Bremen","Germany 1. Bundesliga",Kosovo,ACCELERATION
326,99,ST,Vardy,"Leicester City","England Premier League",England,SECONDSTRIKER
327,99,CB,Lascelles,"Newcastle United","England Premier League",England,DESTROYER
328,99,LB,"Roberto Carlos","Real Madrid","Spain Primera División",Brazil,DEFENDING
329,99,ST,"Ben Yedder","AS Monaco","France Ligue 1",France,SECONDSTRIKER
330,99,CB,Nesta,Milan,"Italy Serie A",Italy,HOLDING
331,99,CAM,Wijnaldum,Liverpool,"England Premier League",Netherlands,LONGSHOTS
332,99,ST,"Iñaki Williams","Athletic Club de Bilbao","Spain Primera División",Spain,SHOTPOWER
333,99,LB,Shaw,"Manchester United","England Premier League",England,DEFENDING
334,98,CAM,Boufal,Southampton,"England Premier League",Morocco,BALLCONTROL
