,Course Name,University,Location,Cost,Cost per,Duration,Extra
24,Security in Computer Systems and Communications, EURECOM - Graduate school and Research center in Digital Science ," Sophia Antipolis, France ",8000 EUR,year,1½ years,Full-time
25,Data Science for Business Leaders, School of Business , Online ,660 EUR,full,2 months,Pre-Master Part-time
26,Data Analytics and Information Systems Management," Arden University, Study Center Berlin "," Berlin, Germany ",15000 EUR,year,1 year,M.Sc. Full-time Part-time
27,Global Finance Analytics, King's College London Online , Online ,13107 EUR,year,"1 year, 4 months",Postgraduate Diploma Part-time
28,Information Technology (Computer Networking), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
29,Digital Transformation, Montpellier Business School ," Montpellier, France ",13900 EUR,year,1½ years,M.Sc. Full-time
30,Communication System and Network Engineering, IMT Atlantique - Graduate Engineering School , Multiple locations ,5100 EUR,year,2 years,M.Sc. Full-time
31,"Data Science, AI and Digital Business", GISMA Business School ," Berlin, Germany ",15500 EUR,year,1 year,M.Sc. Full-time
32,Computer Science, University of Missouri–St. Louis ," Saint Louis, Missouri, United States ",18414 EUR,year,1½ years,M.Sc. Full-time
33,Computer Science online, Lebanese American University - Online , Online ,,,2 years,M.Sc. Part-time
34,Business Analytics, Xi'an Jiaotong-Liverpool University ," Suzhou, China ",12222 EUR,year,1½ years,M.Sc. Full-time
35,Robotics and Autonomy, Drexel University College of Engineering ," Philadelphia, Pennsylvania, United States ",1108 EUR,credit,2 years,M.Sc. Full-time
36,Information Technology (Systems Analysis), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
37,Interaction Design, PolyU Design ," Kowloon, Hong Kong (SAR) ",20263 EUR,year,1 year,Full-time
38,Life Science Informatics, University of Helsinki ," Helsinki, Finland ",15000 EUR,year,2 years,Full-time
39,Cognitive Computing and Collective Intelligence, University of Jyväskylä ," Jyväskylä, Finland ",8000 EUR,year,2 years,M.Sc. Full-time
40,Data Science, University of Canberra ," Canberra, Australian Capital Territory, Australia ",20999 EUR,year,2 years,Full-time Part-time Blended Learning Online
41,Programming for Data Science with R, School of Data Science , Online ,840 EUR,full,3 months,Pre-Master Part-time
42,Data Analytics and Marketing," Arden University, Study Center Berlin "," Berlin, Germany ",15000 EUR,year,1 year,M.Sc. Full-time Part-time
43,Computer Science, University of Essex Online , Online ,6537 EUR,year,2 years,M.Sc. Part-time
44,Information Technology and Systems, University of Canberra ," Canberra, Australian Capital Territory, Australia ",20935 EUR,year,2 years,Full-time Part-time Blended Learning Online
45,Data Science, Coursera , Online ,3667 EUR,year,2 years,Part-time
46,GIS and Remote Sensing, Charles Sturt Online , Online ,19752 EUR,year,1½ years,M.A. Full-time Part-time
47,Information Technology, University of Canberra ," Canberra, Australian Capital Territory, Australia ",,,1½ years,Full-time Part-time Blended Learning Online
48,Management and Informatics, Università della Svizzera Italiana (USI) ," Lugano, Switzerland ",7420 EUR,year,2 years,M.Sc. Full-time
49,Media Innovation, Breda University of Applied Sciences (BUAS) ," Breda, Netherlands ",9416 EUR,year,1 year,M.A. Full-time
50,Geographic Information Systems, University of Maryland Baltimore County (UMBC) ," Baltimore Highlands, Maryland, United States ",935 EUR,credit,2 years,M.Sc. Full-time
51,Data Analytics and Project Management, Arden University Online , Online ,8194 EUR,year,1½ years,M.Sc. Part-time
52,Computer Science - Data Science, Contemporary Technology University , Online ,4955 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
53,Visual and Experience Design, University of Europe for Applied Sciences ," Berlin, Germany ",14300 EUR,year,1 year,M.A. Full-time
54,Informatics, Università della Svizzera Italiana (USI) ," Lugano, Switzerland ",7420 EUR,year,2 years,M.Sc. Full-time
55,Information Technology (Mobile Programming), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
56,Computer Science (Featuring Data Science Track), Coursera - University of Illinois , Online ,17706 EUR,year,1 year,Part-time
57,Information Security and Digital Forensics, London School of Business and Finance Singapore ," London, England, United Kingdom ",11700 EUR,year,1 year,M.Sc. Full-time Part-time Online
58,Master's Qualifying Programme - Engineering, ONCAMPUS Coventry ," Coventry, England, United Kingdom ",18629 EUR,year,3 months,Pre-Master Full-time Blended Learning
59,Business Informatics, University of Canberra ," Canberra, Australian Capital Territory, Australia ",21062 EUR,year,1 year,Postgraduate Diploma Full-time Part-time Blended Learning Online
60,Geographic Information Systems, University of Maryland Baltimore County (UMBC) ," Baltimore Highlands, Maryland, United States ",935 EUR,credit,2 years,M.Sc. Full-time
61,Data Analytics and Project Management, Arden University Online , Online ,8194 EUR,year,1½ years,M.Sc. Part-time
62,Computer Science - Data Science, Contemporary Technology University , Online ,4955 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
63,Visual and Experience Design, University of Europe for Applied Sciences ," Berlin, Germany ",14300 EUR,year,1 year,M.A. Full-time
64,Informatics, Università della Svizzera Italiana (USI) ," Lugano, Switzerland ",7420 EUR,year,2 years,M.Sc. Full-time
65,Information Technology (Mobile Programming), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
66,Computer Science (Featuring Data Science Track), Coursera - University of Illinois , Online ,17706 EUR,year,1 year,Part-time
67,Information Security and Digital Forensics, London School of Business and Finance Singapore ," London, England, United Kingdom ",11700 EUR,year,1 year,M.Sc. Full-time Part-time Online
68,Master's Qualifying Programme - Engineering, ONCAMPUS Coventry ," Coventry, England, United Kingdom ",18629 EUR,year,3 months,Pre-Master Full-time Blended Learning
69,Business Informatics, University of Canberra ," Canberra, Australian Capital Territory, Australia ",21062 EUR,year,1 year,Postgraduate Diploma Full-time Part-time Blended Learning Online
70,Information Technology (Network Security), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
71,Artificial Intelligence and Advanced Visual Computing, École Polytechnique ," Palaiseau, France ",15600 EUR,year,2 years,M.Sc. Full-time
72,Computer and Information Technology, Coursera - University of Pennsylvania , Online ,2065 EUR,module,"1 year, 4 months",M.Sc. Part-time
73,Online MSc Bioinformatics, University of Birmingham online , Online ,,,2½ years,M.Sc. Part-time
74,Digital Service Design, Brunel University London ," London, England, United Kingdom ",23132 EUR,year,1 year,M.Sc. Full-time
75,Game Technology, Breda University of Applied Sciences (BUAS) ," Breda, Netherlands ",9416 EUR,year,1 year,M.Sc. Full-time
76,Predictive Analytics for Business, School of Business , Online ,840 EUR,full,3 months,Pre-Master Part-time
77,Data Analytics and Information Systems Management, Arden University Online , Online ,8194 EUR,year,1½ years,M.Sc. Part-time
78,Data Science and Engineering, EURECOM - Graduate school and Research center in Digital Science ," Sophia Antipolis, France ",6000 EUR,year,2 years,M.Sc. Full-time
79,Business Informatics, University of Canberra ," Canberra, Australian Capital Territory, Australia ",21062 EUR,full,½ year,Postgraduate Certificate Full-time Part-time
80,Artificial Intelligence, Università della Svizzera Italiana (USI) ," Lugano, Switzerland ",7420 EUR,year,2 years,M.Sc. Full-time
81,Information Technology (Software Design and Development), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
82,Information Systems, University of Missouri–St. Louis ," Saint Louis, Missouri, United States ",18414 EUR,year,1½ years,M.Sc. Full-time Part-time
83,Computer Science - AI and Machine Learning, Contemporary Technology University , Online ,4955 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
84,Cybersecurity Management, Swinburne Online , Online ,16035 EUR,year,1½ years,Full-time Part-time
85,Cyber Security and Digital Forensics, University of Portsmouth , Online ,6350 EUR,year,2 years,M.Sc. Part-time
86,Information Technology, University of Canberra ," Canberra, Australian Capital Territory, Australia ",20935 EUR,year,1 year,Postgraduate Diploma Full-time Part-time Blended Learning Online
87,Intermediate Javascript - Nanodegree, School of Programming , Online ,840 EUR,full,3 months,Pre-Master Part-time
88,Intel Edge AI for IoT Developers, School of Artificial Intelligence , Online ,840 EUR,full,3 months,Pre-Master Part-time
89,Artificial Intelligence, University of Leeds Online , Online ,,,2 years,M.Sc. Part-time
90,Robotics Software Engineer, School of Autonomous Systems , Online ,1120 EUR,full,4 months,Pre-Master Part-time
91,IT Security Management," Arden University, Study Center Berlin "," Berlin, Germany ",15000 EUR,year,1 year,M.Sc. Full-time Part-time
92,Information Technology (Cyber Security), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
93,Information Sciences (Research), University of Canberra ," Canberra, Australian Capital Territory, Australia ",17690 EUR,year,2 years,Full-time
94,Two Year Master of Business Administration, Babson College , Multiple locations ,47309 EUR,year,2 years,M.B.A. Full-time
95,Engineering, University of Canberra ," Canberra, Australian Capital Territory, Australia ",20362 EUR,year,2 years,M.Eng. Full-time
96,Information Technology (Data Science), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
97,Intro to Self Driving Cars, School of Autonomous Systems , Online ,1120 EUR,full,4 months,Pre-Master Part-time
98,Computer Science, Coursera - Arizona State University , Online ,8258 EUR,year,1½ years,M.Sc. Part-time
99,Applied Data Science, Charles Sturt Online , Online ,9036 EUR,year,½ year,Postgraduate Certificate Full-time Part-time
100,Global Finance Analytics, King's College London Online , Online ,13107 EUR,year,2 years,M.Sc. Part-time
101,People Analytics, University of Hull Online , Online ,5825 EUR,year,2 years,M.Sc. Part-time
102,Strategic IT Management, Arden University Online , Online ,8194 EUR,year,1½ years,M.Sc. Part-time
103,Information Systems, University of Jyväskylä ," Jyväskylä, Finland ",8000 EUR,year,2 years,M.Sc. Full-time
104,Digital Fashion Communication, Università della Svizzera Italiana (USI) ," Lugano, Switzerland ",7420 EUR,year,2 years,M.Sc. Full-time
105,Business Informatics, University of Canberra ," Canberra, Australian Capital Territory, Australia ",21062 EUR,year,2 years,Full-time Part-time Blended Learning Online
106,Online Master of Business Administration - Data Analytics, Nottingham Trent University Online , Online ,,,1½ years,M.B.A. Full-time Part-time
107,Automotive Computing and Communications," Faculty of Electrical Engineering, Computer Science and Information Technology "," Osijek, Croatia ",5000 EUR,year,2 years,Part-time Online
108,International Management - Digital Transformation (MSIM), Franklin University Switzerland ," Lugano, Switzerland ",22803 EUR,year,10 months,M.Sc. Full-time Part-time Online
109,Artificial Intelligence, IU International University of Applied Sciences - Online , Online ,10990 EUR,year,1 year,M.Sc. Full-time Part-time
110,Digital Security, EURECOM - Graduate school and Research center in Digital Science ," Sophia Antipolis, France ",6000 EUR,year,2 years,M.Sc. Full-time
111,Computer Science online, University of Bath Online , Online ,,,"2 years, 3 months",M.Sc. Part-time
112,Cyber Security and Data Governance Online, The University of Law Business School , Online ,13981 EUR,year,1 year,M.Sc. Full-time Part-time
113,Artificial Intelligence online, University of Bath Online , Online ,,,"2 years, 3 months",M.Sc. Part-time
114,Master of Business Administration (Data Analytics), Arden University Online , Online ,8430 EUR,year,1 year,M.B.A. Full-time Part-time
115,Financial Computing, Xi'an Jiaotong-Liverpool University ," Suzhou, China ",10185 EUR,year,1½ years,M.Sc. Full-time
116,AWS Cloud Architect, School of Cloud Computing , Online ,840 EUR,full,3 months,Pre-Master Part-time
117,Masters in Business Analytics, Hult International Business School ," San Francisco, California, United States ",39227 EUR,year,1 year,M.Sc. Full-time Part-time
118,Digital Sciences, Lyon Polytechnic Institute ," Lyon, France ",7180 EUR,year,3 years,M.Sc. Full-time
119,Cyber Security, University of Essex Online , Online ,6537 EUR,year,2 years,M.Sc. Part-time
120,Artificial Intelligence Strategy, Brunel University London ," London, England, United Kingdom ",20825 EUR,year,1 year,M.Sc. Full-time
121,Cyber Security and Data Governance, GISMA Business School - The University of Law ," Berlin, Germany ",16000 EUR,year,1 year,M.Sc. Full-time
122,Computational Science, Università della Svizzera Italiana (USI) ," Lugano, Switzerland ",7420 EUR,year,2 years,M.Sc. Full-time
123,Design for Learning Environments, University of Birmingham online , Online ,,,1 year,Postgraduate Certificate Part-time
124,Law in a Digital Economy, Católica Global School of Law ," Lisbon, Portugal ",14000 EUR,year,1 year,LL.M. Full-time Part-time
125,Cybersecurity Management, Swinburne Online , Online ,8018 EUR,full,½ year,Postgraduate Certificate Full-time Part-time
126,Cybersecurity, University of Missouri–St. Louis ," Saint Louis, Missouri, United States ",18414 EUR,year,1½ years,M.Sc. Full-time
127,Machine Learning for Analytics MasterTrack, Coursera , Online ,3303 EUR,full,5 months,Pre-Master Part-time
128,Data Science, IU International University of Applied Sciences - Online , Online ,10990 EUR,year,1 year,M.Sc. Full-time Part-time
129,Data Science for Business (X-HEC Paris), École Polytechnique ," Palaiseau, France ",20800 EUR,year,2 years,M.Sc. Full-time
130,Data Engineer, School of Data Science , Online ,1400 EUR,full,5 months,Pre-Master Part-time
131,Electrical and Computer Engineering, The University of Arizona , Online ,17650 EUR,year,1 year,M.Sc. Part-time Blended Learning
132,Online Health Technology Assessment, University of Glasgow , Online ,,,2½ years,M.Sc. Part-time
133,Geographic Information Systems Technology, The University of Arizona , Online ,17650 EUR,year,1 year,M.Sc. Part-time Blended Learning
134,Cybersecurity - Threats and Defenses, École Polytechnique ," Palaiseau, France ",15600 EUR,year,2 years,M.Sc. Full-time
135,Information Technology (IT Management), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
136,Software Engineering, Innopolis University ," Kazan, Russia ",8950 EUR,year,1 year,Full-time
137,Decision Analysis, Minerva Schools at KGI , Online ,18640 EUR,year,"1 year, 9 months",M.Sc. Part-time
138,Digital Transformation, University of Hull Online , Online ,5825 EUR,year,2 years,M.Sc. Part-time
139,Multimedia Telecommunications, Xi'an Jiaotong-Liverpool University ," Suzhou, China ",10185 EUR,year,1½ years,M.Sc. Full-time
140,Data Engineer, School of Data Science , Online ,1400 EUR,full,5 months,Pre-Master Part-time
141,Electrical and Computer Engineering, The University of Arizona , Online ,17650 EUR,year,1 year,M.Sc. Part-time Blended Learning
142,Online Health Technology Assessment, University of Glasgow , Online ,,,2½ years,M.Sc. Part-time
143,Geographic Information Systems Technology, The University of Arizona , Online ,17650 EUR,year,1 year,M.Sc. Part-time Blended Learning
144,Cybersecurity - Threats and Defenses, École Polytechnique ," Palaiseau, France ",15600 EUR,year,2 years,M.Sc. Full-time
145,Information Technology (IT Management), Charles Sturt Online , Online ,18072 EUR,year,2 years,M.A. Full-time Part-time
146,Software Engineering, Innopolis University ," Kazan, Russia ",8950 EUR,year,1 year,Full-time
147,Decision Analysis, Minerva Schools at KGI , Online ,18640 EUR,year,"1 year, 9 months",M.Sc. Part-time
148,Digital Transformation, University of Hull Online , Online ,5825 EUR,year,2 years,M.Sc. Part-time
149,Multimedia Telecommunications, Xi'an Jiaotong-Liverpool University ," Suzhou, China ",10185 EUR,year,1½ years,M.Sc. Full-time
150,Foundations of Computer Science, Institut Polytechnique de Paris ," Palaiseau, France ",3770 EUR,year,2 years,Full-time
151,Information Management - Information Systems and Technologies Management, NOVA IMS ," Lisbon, Portugal ",4000 EUR,year,1½ years,M.Sc. Full-time
152,Blockchain Developer - Nanodegree, School of Programming , Online ,1120 EUR,full,4 months,Pre-Master Part-time
153,Smart Grids and Energy Systems, University of Bradford ," Bradford, England, United Kingdom ",24332 EUR,year,1 year,Full-time
154,Information Systems (Advanced), University of Technology Sydney ," Sydney, New South Wales, Australia ",578 EUR,credit,2 years,Full-time Part-time
155,Computational Intelligence, Portland State University ," Portland, Oregon, United States ",554 EUR,credit, ,Postgraduate Certificate Full-time
156,Energy Systems and Data Analytics, University College London (UCL) ," London, England, United Kingdom ",33204 EUR,year,1 year,M.Sc. Full-time Part-time
157,Business Analytics, Kaplan Business School , Multiple locations ,14508 EUR,year,"1 year, 8 months",Full-time Online
158,Land Surveying, University of Tasmania ," Hobart, Tasmania, Australia ",21603 EUR,year,1 year,Postgraduate Diploma Full-time
159,Library and Information Science - Accelerated Master's Program, University of Arizona ," Tucson, Arizona, United States ",16621 EUR,year,1 year,M.A. Full-time Online
160,Business Administration - Business Analytics and Information Management, Wichita State University ," Wichita, Kansas, United States ",624 EUR,credit,1 year,M.B.A. Full-time
161,Data Science, University of Helsinki ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
162,Artificial Intelligence, University of Stirling ," Stirling, Scotland, United Kingdom ",24285 EUR,year,1 year,M.Sc. Full-time Part-time
163,Data Science, Institut Polytechnique de Paris ," Palaiseau, France ",6243 EUR,year,2 years,Full-time
164,Data Science, Unicaf Scholarships , Online ,,, ,M.Sc. Part-time
165,Information Management - Knowledge Management and Business Intelligence, NOVA IMS ," Lisbon, Portugal ",6000 EUR,year,1½ years,M.Sc. Full-time
166,Self Driving Car Engineer, School of Autonomous Systems , Online ,1680 EUR,full,½ year,Pre-Master Part-time
167,Economic Data Analysis, Prague University of Economics and Business ," Prague, Czech Republic ",3800 EUR,year,2 years,Full-time
168,Ethical Hacking and Cyber Security, Abertay University , Online ,19806 EUR,year,2 years,Part-time
169,Big Data and Business Analytics, SRH University Heidelberg ," Heidelberg, Germany ",790 EUR,module,2 years,M.Sc. Full-time Part-time Blended Learning
170,Medical Physics, University of Malta ," Msida, Malta ",6700 EUR,year,2 years,M.Sc. Full-time
171,Medical Imaging, Utrecht University ," Utrecht, Netherlands ",20715 EUR,year,2 years,M.Sc. Full-time
172,Computer Science and Engineering, Technical University of Denmark (DTU) ," Copenhagen, Denmark ",15000 EUR,year,2 years,M.Sc. Full-time
173,"Terrorism, International Crime and Global Security - Master's Qualifying Programme", ONCAMPUS Coventry ," Coventry, England, United Kingdom ",17109 EUR,year,3 months,Pre-Master Full-time Blended Learning
174,Geography, University of Helsinki ," Helsinki, Finland ",13000 EUR,year,2 years,M.Sc. Full-time
175,Information and Communication Technology (Telecommunications), University of Malta ," Msida, Malta ",13400 EUR,year,2 years,M.Sc. Full-time
176,Introduction to Cybersecurity - Nanodegree, School of Programming , Online ,840 EUR,full,4 months,Pre-Master Part-time
177,Geographic Information Science (Certificate NDP), University of Arizona ," Tucson, Arizona, United States ",16621 EUR,year,1 year,Full-time
178,Information Systems, Linnaeus University , Online ,14537 EUR,year,2 years,M.Sc. Full-time
179,Big Data Analytics, Arcada University of Applied Sciences ," Helsinki, Finland ",10000 EUR,year,1 year,M.Eng. Full-time
180,Advanced Computer Science, University of Hull ," Hull, England, United Kingdom ",20039 EUR,year,1 year,M.Sc. Full-time
181,Data Science, University of Maryland Baltimore County (UMBC) ," Baltimore Highlands, Maryland, United States ",935 EUR,credit,1 year,Full-time
182,Parallel and Distributed Systems, Institut Polytechnique de Paris ," Palaiseau, France ",3770 EUR,year,2 years,Full-time
183,Enterprise Architecture Management, Arden University Online , Online ,8194 EUR,year,1½ years,M.Sc. Part-time
184,Information Systems, Northeastern University , Multiple locations ,21967 EUR,year,2 years,M.Sc. Full-time Part-time Online
185,Leadership and Analytics - Master's Foundation Programme, ONCAMPUS Aston ," Birmingham, England, United Kingdom ",18384 EUR,full,9 months,Pre-Master Full-time Blended Learning
186,Computer Science, University of Helsinki ," Helsinki, Finland ",15000 EUR,year,2 years,M.Sc. Full-time
187,Business Informatics, Utrecht University ," Utrecht, Netherlands ",20715 EUR,year,2 years,M.Sc. Full-time
188,Mathematical Modelling and Computation, Technical University of Denmark (DTU) ," Copenhagen, Denmark ",15000 EUR,year,2 years,M.Sc. Full-time
189,Data Analysis and Artificial Intelligence, Innopolis University ," Kazan, Russia ",8950 EUR,year,2 years,Full-time
190,Game Design (Online), Full Sail University , Online ,23123 EUR,year,1 year,M.Sc. Part-time
191,Electrical Engineering - Wireless Communications and RF Systems, Tampere University ," Tampere, Finland ",12000 EUR,year,2 years,M.Sc. Full-time
192,Enterprise Software Development, Humber College ," Toronto, Canada ",12176 EUR,year,1 year,Postgraduate Certificate Full-time
193,Information, University of Arizona ," Tucson, Arizona, United States ",16621 EUR,year,1 year,M.Sc. Full-time
194,Digital Transformation and Creative Intelligence, Torrens University Australia , Online ,7631 EUR,full,½ year,Postgraduate Certificate Full-time Part-time
195,Big Data Technologies, Unicaf Scholarships , Online ,,, ,M.Sc. Part-time
196,Digital Media - Connect, Northeastern University ," Boston, Massachusetts, United States ",43769 EUR,year,1 year,Full-time Part-time Online
197,Engineering Sciences (Quantum Science and Nanotechnology), University at Buffalo SUNY - School of Engineering and Applied Sciences ," Buffalo, New York, United States ",19077 EUR,year,1 year,M.Sc. Full-time Part-time
198,Applied Data Science for Banking and Finance, Università Cattolica del Sacro Cuore ," Gavardo, Italy ",8540 EUR,year,2 years,M.Sc. Full-time Online
199,Internet and Multimedia Engineering, University of Genova ," Genova, Italy ",3000 EUR,year,2 years,M.Sc. Full-time
200,Covert Investigation and Specialist Intelligence, Liverpool John Moores University , Online ,10480 EUR,year,"2 years, 3 months",Full-time Part-time
201,Digital Media, University of Portsmouth ," Portsmouth, England, United Kingdom ",,,1 year,M.Sc. Full-time Part-time
202,"Chemical Engineering (Modeling, Simulation and Informatics)", University at Buffalo SUNY - School of Engineering and Applied Sciences ," Buffalo, New York, United States ",19077 EUR,year,1 year,M.Eng. Full-time Part-time
203,Situated Design, St. Joost Master Institute for Visual Cultures ," 's-Hertogenbosch, Netherlands ",7969 EUR,year,2 years,M.A. Full-time
204,Strategic Data-Driven Management, International Business School ," Budapest, Hungary ",12400 EUR,year,1 year,M.B.A. Full-time
205,Cyber Security and Data Governance, The University of Law Business School ," London, England, United Kingdom ",13223 EUR,full,½ year,Postgraduate Diploma Full-time
206,Computer Science - Master's Foundation Programme, ONCAMPUS London ," London, England, United Kingdom ",20377 EUR,full,½ year,Pre-Master Full-time Blended Learning
207,Software Engineering (Artificial Intelligence Advanced), Torrens University Australia , Multiple locations ,19917 EUR,year,2 years,Full-time Part-time Blended Learning Online
208,Philosophy, University of Cambridge ," Cambridge, England, United Kingdom ",7340 EUR,year,1 year,Postgraduate Certificate Part-time
209,Electronic Engineering, University of Portsmouth ," Portsmouth, England, United Kingdom ",,, ,M.Eng. Full-time
210,Robotics Engineering, University of Genova ," Genova, Italy ",3000 EUR,year,2 years,M.Sc. Full-time
211,Big Data Science and Technology, University of Bradford ," Bradford, England, United Kingdom ",24332 EUR,year,1 year,M.Sc. Full-time
212,Robotics and Computer Vision, Innopolis University ," Kazan, Russia ",8950 EUR,year,2 years,Full-time
213,Computer Science, Harbour.Space University ," Barcelona, Spain ",22900 EUR,year,2 years,M.Sc. Full-time
214,Medical Ultrasound, University of Central Lancashire (UCLan) ," Preston, England, United Kingdom ",16893 EUR,year,2 years,Full-time Part-time
215,Business Intelligence and Analytics, ESC Clermont Business School ," Clermont-Ferrand, France ",7666 EUR,year,1½ years,M.Sc. Full-time
216,Cyber Security Analysis, Macquarie University ," Sydney, New South Wales, Australia ",23671 EUR,year,1 year,Full-time Part-time
217,Information Science, Texas A&M International University , Online ,9152 EUR,year,1 year,M.Sc. Part-time
218,Computer Engineering, Aarhus University ," Aarhus, Denmark ",14500 EUR,year,2 years,M.Sc. Full-time
219,DevOps Engineer for Microsoft Azure, School of Cloud Computing , Online ,840 EUR,full,3 months,Pre-Master Part-time
220,Data Science for Management, Università Cattolica del Sacro Cuore ," Milano, Italy ",9000 EUR,year,1 year,Full-time
221,Data Protection and Intellectual Property - Full-time (Online)," The University of Law, Postgraduate programmes ", Online ,10718 EUR,year,1 year,LL.M. Full-time
222,Creative Computing, University of Europe for Applied Sciences ," Berlin, Germany ",14300 EUR,year,1 year,M.A. Full-time
223,Information Systems Management (ISM), Prague University of Economics and Business ," Prague, Czech Republic ",3800 EUR,year,2 years,Full-time
224,Developer for Microsoft Azure, School of Cloud Computing , Online ,1120 EUR,full,4 months,Pre-Master Part-time
225,Wireless Telecommunications, Humber College ," Toronto, Canada ",11729 EUR,year,1 year,Postgraduate Certificate Full-time
226,Health Informatics, University of Central Lancashire (UCLan) , Online ,,,1 year,Postgraduate Certificate Part-time
227,Business Innovation with E-Business - Master's Foundation Programme, ONCAMPUS London ," London, England, United Kingdom ",20377 EUR,full,½ year,Pre-Master Full-time Blended Learning
228,"Data, Culture and Visualization", ITMO University ," Saint Petersburg, Russia ",2686 EUR,year,2 years,M.Sc. Full-time
229,Human Rights and Diplomacy, University of Stirling ," Stirling, Scotland, United Kingdom ",22887 EUR,year,1 year,M.Sc. Full-time
230,Physics and Engineering - Quantum and Hybrid Materials, ITMO University ," Saint Petersburg, Russia ",3518 EUR,year,2 years,M.Sc. Full-time
231,Software Engineering for Embedded Systems, Distance and Independent Studies Center , Online ,3980 EUR,year,2 years,M.Eng. Part-time
232,Computer Science, Aarhus University ," Aarhus, Denmark ",14500 EUR,year,2 years,M.Sc. Full-time
233,Mechatronics and Intelligent Machines, University of Central Lancashire (UCLan) ," Preston, England, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time Part-time
234,Strategy and Digital Business, ESCP Business School , Multiple locations ,12750 EUR,year,2 years,M.Sc. Full-time
235,Advanced Applied Field Geoscience, University of South Wales ," Pontypridd, Wales, United Kingdom ",16893 EUR,year,1 year,M.Sc. Full-time Part-time Blended Learning
